('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y;27;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0b3av6hp5sh4tl79rh0b3avpntmyuqiu;26;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz;30;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0b9sb2w74o4h0f42j0b9sbk83r3d01j0;26;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
0baz3khrxi0sei0bazgztvrrugudi1wd;50;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Estatístico;Científico/Quantitativo;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
0bb3tmiavc8odqz33eojlr0bb3to0mtu;23;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 4.001/mês a R$ 6.000/mês;5000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0beob0vw5kuacjool0w0beobkbzsh06f;22;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0bj58kvonhsptf90bj5ldaxfkdm013kt;39;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx;34;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0bzkjj29s204r00bzkuifih8t0n4shmd;23;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0c61ipysz17kckyll0c61ivgliw391vr;29;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analytics Engineer;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
0czmmsqic3e0czzgfpcxcmlvopm6lzgf;25;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Outra Opção;Outro;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0ddxnylpynv0fgc72nuiy0ddx2np8hvc;26;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0dkjjbum7c9eeyyr0dkjusywtxxirtxf;27;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp;27;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0dqlwrfgpu6hl40dq03c11aoxyrkddtt;24;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0dverwvn6qvm84sj0dverwv1jhbj8uhf;22;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo 100% remoto;0
0e5jp063qgcme6ly0e5j1oqs6sdw53oi;29;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x;32;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0ei02mf5qxmda4g0ei02noz2n3ozbmns;38;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 6.001/mês a R$ 8.000/mês;7000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
0es5j6zi3eta53c3alanv0es5j6zm7bp;62;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;1;;;1;;;1
0etlg34j0c2aa5gxkx0etlgl5085l8cl;27;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
0fqm46sjwi4favsmqvl0fqm46s98elu7;27;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
0fy84aoyul0t71eaqln0fyfp4p5e8glp;27;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Economista;Científico/Quantitativo;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
0g42rq6g6p2q873xia8y0g42x4n8upzt;29;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0gegw5q7g3lykqzh1jrvp0gegw55wg08;23;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;0;;;1;;;1
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz;23;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0gn3aonvi5bf7v0gditzg8sz142fxclo;26;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
0gqoessq550geoi56otja8nxkzhl2yoe;33;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0gxlcto118vdsq0gxlcaonsk0utw8n0y;24;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0h9s4p0a05whv290h9sq91aarxgafcha;26;Feminino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
0hc6qwa1z9mz3aeb0hc6qwn21gsvs4u3;28;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0i6712vqjj653m0i670gfwnl6ta7qnic;37;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0id8eghh68cl1w98pk0id8ep67ng3t9n;33;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0ig66tffh8xm8bmo0ig61rg4eh0vfx85;25;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
0iozjnemmmz54m3nq0iozjnzm4poermp;30;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0j2vm91zj9pfytz27jax0j2vafif1kuv;43;Masculino;;0;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo 100% presencial;1
0jainribfz6iwp042gdx0jaino4uc71r;29;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
0jc0mij71evva7kn778bz30jc0mijucs;30;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0jca0nbvqe3ufht9p0jca0dwcapmm8fm;48;Masculino;;0;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0ji2x0gh9fnq4nuej0ji2xknk36lhorh;29;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0jj9dxfgsq4uhudlwbcs0jj9dxq1k1xm;27;Masculino;;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;0;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido com dias fixos de trabalho presencial;0
0jk0bdnu7cufwadn0jk07nuti10opjh8;28;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
0jlaefa4xwwgk5lfga7gsl0jlaefak5x;27;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0jqbuqvb3936balyvfenrstk0jqbuqvb;28;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;Menos de R$ 1.000/mês;500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
0k7l1ljbam6kacmu0k7lno7oaf3xmu2d;29;Masculino;;0;0;Outra Opção;Outro;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0kgic0bazt3vuk7t0kgisvop2347hvb2;28;Masculino;;0;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
0kugfu1lh5m23aunu2tn0kugb01gbx3e;21;Masculino;;0;;;Não informado;;0;;2;;;1;;;1
0kul7v5qknv9o8qccac0kulrt5fdi7om;49;Masculino;;0;1;;Não informado;de R$ 25.001/mês a R$ 30.000/mês;27500;;0;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0kyn7c4b5p4ud7arfk4000kynyyy82ec;33;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0kz3y2ky2wx4fmkhadp0kz3y8y7jrl32;23;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0lv0ldegkx1i8xxmet0lvfewlljsvem0;27;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0lw4azzxw5hfcsb86ack0lw4azz8myxk;37;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;2;;;1;;;1
0m9ykattn3c24ri42vxg0m9ykam9lb6n;34;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0mnxtpoxm1cp3wctf9bp0m6esr5ydpkh;24;Masculino;;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0mp2dsmps10vyxahto0mp2ddj4kdfc2s;24;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Outra Opção;Outro;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0nqzg51pf95l5p55kx0nqznnxpxb3upo;35;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0nzwxa69m49bv180hk4fhb0nzwxaznfv;26;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analytics Engineer;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0oggobdknd16s8sog3ln4ic0oggobmt1;25;Masculino;;0;0;Analytics Engineer;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0ojds5de5ah8vwrpmklt0ojds5dz95kx;28;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0on1x4pk2etlhgwbdf0on1x4pb0vfe3a;19;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0onjh42eak1akktm7coy0onjho00ittt;28;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;0;;;0;;;1
0ovocc0chi8jo3q0ovocvj6qmljwtloh;42;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0owmod4o9zby3ho0owkck31v0w2q45bc;45;Masculino;;0;0;Outra Opção;Outro;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
0p2u2nceqzym6fssl92n180p2u2n4uss;30;Masculino;;0;1;;Não informado;de R$ 20.001/mês a R$ 25.000/mês;22500;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0pg37xsvnaoyqvibr0pg378z2eg4lpcz;28;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0piaidcw03f691i4cdc0piaid7bp0tpd;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
0porhlvirmnbqihbq0f0porhli93zl7v;26;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
0q472yy1a4ua38hg0q42byo044ngq1sb;29;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0qhsqn12j7yapjr3ny0qhsqnfkqqygsm;24;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analytics Engineer;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
0qio4frn8vyn5lyoev0qio4uhal1fitk;32;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
0r46flon90jl4hvi0r46flwm5jfomrq3;41;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
0rchsejnsxoklvzbq790rchsejne0bpi;33;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
0rcm0gxoact3bzh06knd13ubjeo64v14;37;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0rjkvzh2lso0ry6omu8uk030mxjr0q6f;31;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
