"('P0', 'id')","('P1_b ', 'Genero')","('P2_f ', 'Cargo Atual')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')"
r72b7a87c7uyvu27r72b7aowe59wcapr,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Doutorado ou Phd,Outras Engenharias
r7f970y1ar4skgzr70rtslbmf9gmbqp2,Masculino,Outra Opção,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r7hsaayqsq4ry1jr7hs2jtwx10jq1qmr,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
r7i6i319m0kcyiu9cr7ieo5b47sxm55g,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
r7mgssfd0d6qvw1wr7mgssf5exvt0m49,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r7o9xsu5d3s5sucwy5r7o9xsuz9wmmhl,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
r7ycazahvitq9f8vr7yce8nlcprpwpf6,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r8d4xe7olvqo76bp90rb4r8d4x9e2tmr,Masculino,,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
r8obyt7sk9pxffcayeb5r8obytqqwb55,Feminino,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
r96rktbaet73wgr96raugxwkum5wbz8i,Masculino,Analista de Negócios/Business Analyst,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r99b5kcn8w6mfjookgvu7dsr99b5kcnd,Masculino,,de 7 a 10 anos,Pós-graduação,Outras Engenharias
r9p4f3yo7djix18l36t4r9dqw9c1c9m0,Prefiro não informar,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r9rs502faupt8f554rl4r9rs509gtocb,Masculino,,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
r9wbut1e32h65tu5g01r9wbut7l0oql9,Masculino,,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rakl4gl09echoiy8xkrrakl4g98buh5e,Masculino,Outra Opção,Não tenho experiência na área de dados,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
razv0ae8tzk4tadakqm8razv0aekep24,Feminino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Mais de 10 anos,Mestrado,Ciências Sociais
rb2aklvzkm1a5rb2aa5mowwwhrtsxfr8,Feminino,,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
rb8z2evcglei6sgnboymmrb8zvx0hjjd,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Outras Engenharias
rbf89i16fkiyhrbf5oneajzsu5vwbkwa,Prefiro não informar,Cientista de Dados/Data Scientist,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rcdgr2ffpiivmheesrcdgmyu1w4ww2pa,Masculino,,de 7 a 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rcqwumra100i7zvgdcrcqyddpr1g5iuf,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rd40wcml1i94e91fz5v2rd40wxdu8l34,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
rdcrg7c7lt3btnq63wrdcrakthkyhkp7,Masculino,Estatístico,de 7 a 10 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rdcvqhfkp17r4co8rdcvqd2wofb4z1lw,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rdelmfu4u6o03opmsz8qhfmzrdelmfuh,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
rdicmga98z4kxwht4b3wjrdicmgjtlxy,Masculino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 3 a 4 anos,Mestrado,Outras Engenharias
rdjsmpj7bavag9rrdjsmfwf9e30tg5cu,Feminino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Mais de 10 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
rdlg7npqacrttrdlmnlmrcbwzgckuib9,Masculino,,Mais de 10 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
re4vx5yb2djubvuy2lusre4vxf7ltuls,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
re59yb5m46nxz0are5ildmxt21ifa1il,Masculino,Outras Engenharias (não inclui dev),de 3 a 4 anos,Pós-graduação,Outras Engenharias
relj36y9b7p8dgbz5relj3a0v9kelajr,Masculino,,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rexidaxafi43pdc3q788dufrexidaxil,Masculino,,de 7 a 10 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
reyn2cb3hu56ozpjpreyn2w15c4epu9d,Masculino,Analista de Dados/Data Analyst,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rf2s0eg8gjubg3a7vrrf2s0en4zofd3o,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rf3c3awiay2spdkbe7ojnm5crf3c3awl,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Outra opção
rfbp3nutzmzwqi6xgn7crzqn6uv9rfbp,Feminino,Outra Opção,Não tenho experiência na área de dados,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo
rfu69txirlf8t4f5qorfu691z0z2t52v,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rg1okfpz3j4fkaqdkkrg5x5k4gn3bxsp,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rgbo5dsxjw1wmn15labfvrgbo5dsx56r,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rgd6gs4dfav96iv4krgd6gs4wyepfbot,Masculino,Outra Opção,Mais de 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rgpvym66qdaja4wh86trgpvymk89eykr,Feminino,,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rgsuxt43xjvm54krgsupmjdq2575jlen,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
rgx5ijl30t58sitwaxrgx5ij9ki8l19t,Feminino,Analista de BI/BI Analyst,de 1 a 2 anos,Pós-graduação,Outras Engenharias
rild1ni1k2vxktwft00rild1ws814a0b,Feminino,Outra Opção,Não tenho experiência na área de dados,Pós-graduação,Outras Engenharias
riw9hqekspai38u8bbriw9d96vw6fy95,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
rizlqw0aqj6re9buerizl4c6uq8zjqpu,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rj2cgsc6mbq9jrj2cgb5d12gbyjgyrcb,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
rjfsvupueqevxnehigh10rjfsvua0h42,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Outras Engenharias
rjfz1nwrmy0rcp8rjfz1nwx9vogl9goi,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rjg89tkq44jgt0t39rjg8902lf67mofj,Feminino,Analytics Engineer,de 7 a 10 anos,Pós-graduação,Outras Engenharias
rjx0noandrelxa2znas4rj6jv457zt2g,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rk52auxzblqw4sjj1hrk52jv7cbknz72,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias
rke3148vzm3ad2f2h2s7rkeraxed6vtg,Feminino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rkennmye9tbgajo0xrtsrkennmyevx6a,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Menos de 1 ano,Não tenho graduação formal,
rkmah4y8izc3bcwrrkmah435b95clcl5,Masculino,,de 5 a 6 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rkp7idtuulp7jfkzt6xzrkp7idtfccxl,Outro,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rky8sp5lftsoks9c223wogrky8sp0g7a,Feminino,,Mais de 10 anos,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rleh94jmuh6wbp7slboyo2lrleh94h52,Masculino,,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rlhn2e77zc5xf7pp3nrlhnufrz79ir6t,Feminino,,,Graduação/Bacharelado,Outra opção
rljmpvmk6ncg1x0kktagrljmpv8aeyny,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rlti81zzyazz181rlt1ne9h6f7r66fvx,Masculino,Analista de BI/BI Analyst,Menos de 1 ano,Pós-graduação,Outras Engenharias
rltrkf5sj17z7kiprltrkal07avr4y10,Masculino,,de 4 a 6 anos,Doutorado ou Phd,Outras Engenharias
rm6xczm6wbjvbqvrm6xo19ondl3vkqro,Masculino,,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rn34zbjnps675flrn34ksjclvq2uilm7,Masculino,,Mais de 10 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rn6cl0kgwgd118tt6ern6eztlqq9xufd,Feminino,,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rnck7nxkf8y6es8u3rnck97czplti4k0,Masculino,,Mais de 10 anos,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo
rnfsulreyc7o252afrnffnu7nwvit4v6,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Não tenho graduação formal,
rnnhzyhrn9yjqvxrnnhzy4pqbigez6h4,Feminino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rnote77sb7cqiqj4iwrnoteyzi091fn2,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Outras Engenharias
rnwialzpkg3fggf1rnwialqeqj4b9i2i,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rnz2gwm0gr7881tghj5srnz2glgikapa,Masculino,Analista de Dados/Data Analyst,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rnzsp2gvm0c1sbfwhrnzsp01f99d8dsl,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Outra opção
ro351jths3v1j850dro351jn7x7pcgw5,Feminino,,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rom4wyaxqdc89tr3yivrom4wybf5v9qt,Masculino,Analista de Dados/Data Analyst,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rpck9xz6tncfzyjdm0xbrpck9qsla13r,Masculino,,de 7 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rpqscsmlzf9wjdayrpq24ltq4m8ynaj8,Feminino,Analytics Engineer,de 3 a 4 anos,Estudante de Graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
rpsuzfo2e512rsdsdmunirpsuzfyrpwb,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 4 a 6 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
rq6mt3rlgquhdupgbrq6mt3q7hs3ak45,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
rqud28u1pu1ohrqud2n9gxq42wg5og77,Feminino,Analista de Negócios/Business Analyst,de 7 a 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rr6p1z11fyp9f533jmrr6p1z1ntrjoz1,Masculino,Analista de Negócios/Business Analyst,de 4 a 6 anos,Pós-graduação,Outras Engenharias
rremho6t60xlvbvdi29rremhohkwqrqb,Feminino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rrigcrobqjskbvwrrrigc8wo3yr6u2pt,Masculino,,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rse8ku6as379t2rikqytttrse8ku68u8,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rsf7tkuvzhn0g9p7rsf71v75jnzf5i0l,Masculino,,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rsinfdc7ejivbcoursinfd94iwbufbao,Masculino,,,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
rsr1zg43up7q4duzkuhmlkrsr1zgoadc,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rt4mjb0e1wuqwr8lwjgrt4mj7dz9dxy8,Feminino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Outra opção
rt5zymqkqb0rhtyirf7rt5zy7pg5wrcn,Feminino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rtklyhw8afie3yzgaj6rtklyhwhzh5fp,Masculino,Analista de Suporte/Analista Técnico,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rtxwwsj5kj71k8vrtskqvonw4kvbb4pi,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
ruk3if7zijwke7wx6wruk3hotjv2o4e7,Masculino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outra opção
ruubc5bs2fq8fr0e84zruubr27lkjfbx,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rv2hgtlxtnj5r9zkzn9d9s1htrv2hgt8,Masculino,Outra Opção,de 1 a 2 anos,Estudante de Graduação,Outra opção
rv5oh83y7djtd8oq75natrv5oh83zzc1,Feminino,,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
rvf6leeo98593dcar5drvf6rs3aj0vx6,Feminino,Analista de Negócios/Business Analyst,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rvg35u5gh80cnlsn8rvg35e8s40wkho8,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rvs532wls3cvomo3rvs532ip9n0g2zka,Masculino,DBA/Administrador de Banco de Dados,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rvvqqq89nhmp15nxlx7rvvqqq1j4nk9u,Masculino,Analista de Inteligência de Mercado/Market Intelligence,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rvwzt75emf1496krfgdervwzt7czmcw8,Masculino,,de 3 a 4 anos,Estudante de Graduação,Outras Engenharias
rvzdllkvspb6rvzdnq4gkqvwoac2tnq4,Masculino,Analista de BI/BI Analyst,Mais de 10 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rw16rac5ns5qd9qlyp5i9rw16rru2bji,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
rw82ptfrxuc0agxdrw8lsd8vclfctizo,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rwegxwxuuexqzpljfrwegxvnmy0bw7wz,Feminino,Analista de Dados/Data Analyst,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rwoul6i24uwfrwoulkr4wuhs3cnhrfxb,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rwsseh8adluiuganrsrwssuln8rm2i6j,Masculino,Professor/Pesquisador,de 4 a 6 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
rwygeab4fdrh0be5cfllhrwygeabn9k8,Masculino,Analista de Inteligência de Mercado/Market Intelligence,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rx81h0f9bnz1zh0sarx81h93wo4ssj5y,Masculino,Analytics Engineer,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rxlae52xd95jkwifrxlffnpcovjxldzo,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
rxqj0igqz2ajs9qrxqjgv55sb07xymfj,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rxwryd80edp7b0vaierxwry6foya1x5u,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
ry385mi8sapzeer8ry385zucspdujx3v,Masculino,Outra Opção,Menos de 1 ano,Não tenho graduação formal,
ryba47cksaq4sx0e5w99ryba47cs10mn,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Outra opção
rykyhbk4n88613ryprxytmop30d5wke3,Masculino,Outra Opção,de 1 a 2 anos,Não tenho graduação formal,
rza6ys6pw5oppgk9p8srza6ys658rh9d,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
rzan2pnrsja998u5fi369xcrzan2pncs,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
rzjdr1klakrrzjd60npikczomicfki9s,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 7 a 10 anos,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
rzo8us3v3ca09r01rzo8ub8qi98d9c2q,Masculino,,de 5 a 6 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
rzxgatoczu3gq1pu2dhli9rzxgatowek,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s01ifnm0uh92gaus01ihr1m0jsa1e1iw,Masculino,,de 3 a 4 anos,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
s0377s1j5u5vevfph1wds0377zqy60c8,Feminino,Outra Opção,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
s0e5xeiweqrk7nhbcac1600s0e5xeqfn,Feminino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Pós-graduação,Outras Engenharias
s0x9h6bse1n9drbl6d9xgo6s0x9hhtjq,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
s10mheu0je9sqjpn92s10mvpnt84qzvk,Feminino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
s1e5wdffk1lj8cg0toa6i4s1e5wd48jf,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Outras Engenharias
s1gemumgxbvf183bfs1g5cs0dmy6bg5d,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Mestrado,Outras Engenharias
s25meqbhmchxiwbudws25m0jnylpaw9p,Masculino,Outra Opção,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s29to7fwdaxy3x9s20f49ogjqtx716jx,Masculino,,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
s2u30ukmzld4o19s2wef3dyxwyimckwe,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s2y2c42pr4x0yuv2fqlos2y2ol50i0pk,Feminino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
s37inwhdx7vidy0fs37ijt5s6oqh6iwa,Masculino,,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
s3a64espdm1ic80e1s3a64eu8sbit8rc,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
s40xs3ci41d37bsps40x9r61ltj8opc7,Masculino,,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s4kdn1hmgh4fxzycs4kmnj0gjv2t08fr,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
s4uel9b3921xpbls4uabnstlgby0ccyw,Masculino,Analista de Negócios/Business Analyst,de 4 a 6 anos,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
s4xvrjjjehbgas4xvrj7x99x3conl4yh,Masculino,Analista de Dados/Data Analyst,de 4 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
s58guc94v8hr2eaos58g01lqf9bl2ic2,Feminino,Analista de Dados/Data Analyst,de 5 a 6 anos,Pós-graduação,Ciências Sociais
s5ckq7k8dx93ui7zgys5ck5eqjvboukv,Masculino,Analista de Suporte/Analista Técnico,Menos de 1 ano,Graduação/Bacharelado,Outra opção
s5wzgn6afg8mddki2f7cis5ye1bztm0y,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s60qy8rxds1xokeis60q8c7lmzas3hxj,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s68u0kfip4ty607q0y32bfs68u0kffz8,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Outra opção
s68wj064ndbl43mvqs68wg1p7jdjchja,Masculino,Analista de Dados/Data Analyst,de 7 a 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
s6c4u61mlakg3cx7s6c4u61s603po2hg,Masculino,Cientista de Dados/Data Scientist,Menos de 1 ano,Pós-graduação,Outras Engenharias
s6joxw8pdr4vchwp5k9s6joxyi5z80tx,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Pós-graduação,Outras Engenharias
s6k0qtfj5qnzblds6k0nhdhwzqsu61o7,Feminino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
s6uio3uc2xr4z94juzls6uio3u0tmb42,Masculino,,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s6z34zrt8iiguaetzpa4s6z34zrjkcp7,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Pós-graduação,Outra opção
s77qe82pj6nq21fvys77qe817uaqt0l9,Masculino,Analista de Negócios/Business Analyst,Menos de 1 ano,Estudante de Graduação,Outras Engenharias
s7f9tf986wzc5z5bs91ys72leqd8c33n,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
s7kwtnmcy73fat82s7kwtedmocz3dy4s,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
s7pchvtchcim2n6nas7pchv03tym6ym0,Masculino,,Mais de 10 anos,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
s7w3g0xm6z34oafhvs7w3g0x8xrvcgj8,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
s7wv0vj1dyshagzs7wv0vut5yk4ypde7,Masculino,Analista de BI/BI Analyst,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
s87jp3q7egtxk8dars87jp38x3hw3n9x,Masculino,,de 4 a 6 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
s938zzej3c4zfvpmqs938zzernu3n56m,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
s9h58zyrehjsng3s9h5m14jrxpeu551l,Masculino,,de 4 a 6 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
s9ozjslfquaqpg42xm3s9ozjs03qxcoo,Masculino,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
s9q41n9tzjgqgcs9q4dpdwsnik7peye8,Masculino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Mestrado,Outras Engenharias
